subject,experiment_name,age,condition,trial_type,trial_index,choice_image,choice_audio,target_image,foil_image,test_audio,target_label,is_right,available_image1,available_image2,available_image3,available_image4
p103,1,4.09,active,familiar-test,5,stims/penguin.png,NA,stims/cow.png,stims/penguin.png,stims/norm_where_penguin.wav,penguin,0,NA,NA,NA,NA
p103,1,4.09,active,familiar-test,6,stims/pig.png,NA,stims/pig.png,stims/bear.png,stims/norm_find_pig.wav,pig,1,NA,NA,NA,NA
p103,1,4.09,active,learning,7,stims/8.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/5.png,stims/3.png
p103,1,4.09,active,learning,8,stims/5.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/5.png,stims/3.png
p103,1,4.09,active,learning,9,stims/6.png,stims/norm_that_kita.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/5.png,stims/3.png
p103,1,4.09,active,learning,10,stims/3.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/5.png,stims/3.png
p103,1,4.09,active,learning,11,stims/8.png,stims/norm_it_manu.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/5.png,stims/3.png
p103,1,4.09,active,learning,12,stims/5.png,stims/norm_that_beppo.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/5.png,stims/3.png
p103,1,4.09,active,learning,13,stims/6.png,stims/norm_that_kita.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/5.png,stims/3.png
p103,1,4.09,active,learning,14,stims/3.png,stims/norm_it_finna.wav,NA,NA,NA,NA,NA,stims/6.png,stims/8.png,stims/5.png,stims/3.png
p103,1,4.09,active,test,15,stims/3.png,NA,stims/3.png,stims/8.png,stims/norm_find_finna.wav,finna,1,NA,NA,NA,NA
p103,1,4.09,active,test,16,stims/6.png,NA,stims/6.png,stims/5.png,stims/norm_find_kita.wav,kita,1,NA,NA,NA,NA
p103,1,4.09,active,test,17,stims/5.png,NA,stims/5.png,stims/6.png,stims/norm_find_beppo.wav,beppo,1,NA,NA,NA,NA
p103,1,4.09,active,test,18,stims/3.png,NA,stims/3.png,stims/8.png,stims/norm_find_finna.wav,finna,1,NA,NA,NA,NA
p103,1,4.09,active,test,19,stims/5.png,NA,stims/6.png,stims/5.png,stims/norm_find_kita.wav,kita,0,NA,NA,NA,NA
p103,1,4.09,active,test,20,stims/5.png,NA,stims/5.png,stims/6.png,stims/norm_find_beppo.wav,beppo,1,NA,NA,NA,NA
p103,1,4.09,active,test,21,stims/8.png,NA,stims/8.png,stims/3.png,stims/norm_find_manu.wav,manu,1,NA,NA,NA,NA
p103,1,4.09,active,test,22,stims/3.png,NA,stims/8.png,stims/3.png,stims/norm_find_manu.wav,manu,0,NA,NA,NA,NA
p103,1,4.09,active,learning,23,stims/1.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/4.png,stims/1.png,stims/7.png,stims/2.png
p103,1,4.09,active,learning,24,stims/4.png,stims/norm_that_roozer.wav,NA,NA,NA,NA,NA,stims/4.png,stims/1.png,stims/7.png,stims/2.png
p103,1,4.09,active,learning,25,stims/2.png,stims/norm_that_soma.wav,NA,NA,NA,NA,NA,stims/4.png,stims/1.png,stims/7.png,stims/2.png
p103,1,4.09,active,learning,26,stims/7.png,stims/norm_it_noopy.wav,NA,NA,NA,NA,NA,stims/4.png,stims/1.png,stims/7.png,stims/2.png
p103,1,4.09,active,learning,27,stims/1.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/4.png,stims/1.png,stims/7.png,stims/2.png
p103,1,4.09,active,learning,28,stims/1.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/4.png,stims/1.png,stims/7.png,stims/2.png
p103,1,4.09,active,learning,29,stims/1.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/4.png,stims/1.png,stims/7.png,stims/2.png
p103,1,4.09,active,learning,30,stims/1.png,stims/norm_it_tesser.wav,NA,NA,NA,NA,NA,stims/4.png,stims/1.png,stims/7.png,stims/2.png
p103,1,4.09,active,test,31,stims/7.png,NA,stims/4.png,stims/7.png,stims/norm_where_roozer.wav,roozer,0,NA,NA,NA,NA
p103,1,4.09,active,test,32,stims/4.png,NA,stims/7.png,stims/4.png,stims/norm_where_noopy.wav,noopy,0,NA,NA,NA,NA
