subject,experiment_name,age_group,age,trial_type,trial_index,label1,label2,image1,image2,image3,image4,image5,image6,image7,image8,choice_image,random_image,choice_label,random_label,target_image,is_right,target_label
Crossact1_p102,Experiment 2,kids,5.302777778,selection,21,NA,NA,stims/30.png,stims/17.png,stims/18.png,stims/28.png,stims/21.png,stims/16.png,NA,NA,stims/28.png,NA,sibu,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,selection,22,NA,NA,stims/30.png,stims/17.png,stims/18.png,stims/28.png,stims/21.png,stims/16.png,NA,NA,stims/17.png,NA,tibble,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,selection,23,NA,NA,stims/30.png,stims/17.png,stims/18.png,stims/28.png,stims/21.png,stims/16.png,NA,NA,stims/30.png,NA,zeevo,NA,NA,NA,NA
Crossact1_p102,Experiment 2,kids,5.302777778,test,24,NA,NA,stims/17.png,stims/28.png,stims/21.png,stims/16.png,stims/18.png,stims/30.png,NA,NA,stims/16.png,NA,leemu,NA,stims/18.png,0,stims/find_pahvy.m4a
Crossact1_p102,Experiment 2,kids,5.302777778,test,25,NA,NA,stims/28.png,stims/21.png,stims/16.png,stims/17.png,stims/18.png,stims/30.png,NA,NA,stims/17.png,NA,tibble,NA,stims/17.png,1,stims/find_tibble.m4a
Crossact1_p102,Experiment 2,kids,5.302777778,test,26,NA,NA,stims/21.png,stims/18.png,stims/28.png,stims/16.png,stims/17.png,stims/30.png,NA,NA,stims/28.png,NA,sibu,NA,stims/28.png,1,stims/find_sibu.m4a
Crossact1_p102,Experiment 2,kids,5.302777778,test,27,NA,NA,stims/16.png,stims/17.png,stims/21.png,stims/18.png,stims/30.png,stims/28.png,NA,NA,stims/18.png,NA,pahvy,NA,stims/16.png,0,stims/find_leemu.m4a
Crossact1_p102,Experiment 2,kids,5.302777778,test,28,NA,NA,stims/28.png,stims/30.png,stims/17.png,stims/18.png,stims/21.png,stims/16.png,NA,NA,stims/21.png,NA,guffi,NA,stims/21.png,1,stims/find_guffi.m4a
Crossact1_p102,Experiment 2,kids,5.302777778,test,29,NA,NA,stims/17.png,stims/18.png,stims/30.png,stims/28.png,stims/16.png,stims/21.png,NA,NA,stims/17.png,NA,tibble,NA,stims/30.png,0,stims/find_zeevo.m4a
Crossact1_p103,Experiment 2,kids,5.705555556,fam-learning,1,penguin,dog,stims/penguin.png,stims/dog.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,fam-learning,2,biffer,deela,stims/10.png,stims/13.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,fam-learning,3,dog,biffer,stims/dog.png,stims/10.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crossact1_p103,Experiment 2,kids,5.705555556,fam-learning,4,deela,penguin,stims/13.png,stims/penguin.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
