subject,age_group,experiment_name,sampling_condition,trial_type,label1,label2,image1,image2,image3,image4,image5,image6,image7,image8,choice_image,random_image,random_image1,random_image2,choice_label,random_label,random_label1,random_label2,target_image,target_label,is_right,trial_index
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/3.png,stims/5.png,stims/17.png,stims/2.png,stims/10.png,stims/11.png,stims/18.png,stims/14.png,stims/3.png,NA,NA,NA,NA,NA,NA,NA,stims/14.png,biffer,0,29
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/11.png,stims/18.png,stims/2.png,stims/5.png,stims/17.png,stims/3.png,stims/10.png,stims/14.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,stims/3.png,noopy,0,30
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/11.png,stims/10.png,stims/17.png,stims/14.png,stims/5.png,stims/2.png,stims/18.png,stims/3.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,stims/18.png,zeevo,0,31
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/10.png,stims/14.png,stims/5.png,stims/18.png,stims/11.png,stims/2.png,stims/3.png,stims/17.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,stims/5.png,leemu,0,32
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/10.png,stims/18.png,stims/17.png,stims/14.png,stims/5.png,stims/3.png,stims/2.png,stims/11.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,stims/10.png,soma,0,33
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/5.png,stims/18.png,stims/14.png,stims/11.png,stims/10.png,stims/3.png,stims/17.png,stims/2.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,stims/11.png,tibble,0,34
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/11.png,stims/10.png,stims/5.png,stims/3.png,stims/18.png,stims/2.png,stims/17.png,stims/14.png,stims/11.png,NA,NA,NA,NA,NA,NA,NA,stims/17.png,beppo,0,35
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/14.png,stims/11.png,stims/5.png,stims/10.png,stims/18.png,stims/2.png,stims/3.png,stims/17.png,stims/2.png,NA,NA,NA,NA,NA,NA,NA,stims/2.png,pahvy,1,36
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/3.png,stims/10.png,stims/2.png,stims/14.png,stims/11.png,stims/17.png,stims/18.png,stims/5.png,stims/11.png,NA,NA,NA,NA,NA,NA,NA,stims/17.png,beppo,0,37
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/3.png,stims/5.png,stims/2.png,stims/10.png,stims/17.png,stims/11.png,stims/14.png,stims/18.png,stims/5.png,NA,NA,NA,NA,NA,NA,NA,stims/11.png,tibble,0,38
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/17.png,stims/14.png,stims/18.png,stims/2.png,stims/3.png,stims/10.png,stims/5.png,stims/11.png,stims/18.png,NA,NA,NA,NA,NA,NA,NA,stims/3.png,noopy,0,39
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/2.png,stims/17.png,stims/5.png,stims/18.png,stims/3.png,stims/14.png,stims/10.png,stims/11.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,stims/10.png,soma,0,40
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/10.png,stims/11.png,stims/18.png,stims/17.png,stims/3.png,stims/2.png,stims/14.png,stims/5.png,stims/5.png,NA,NA,NA,NA,NA,NA,NA,stims/5.png,leemu,1,41
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/5.png,stims/11.png,stims/18.png,stims/14.png,stims/10.png,stims/2.png,stims/17.png,stims/3.png,stims/17.png,NA,NA,NA,NA,NA,NA,NA,stims/14.png,biffer,0,42
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/3.png,stims/18.png,stims/17.png,stims/5.png,stims/2.png,stims/14.png,stims/11.png,stims/10.png,stims/14.png,NA,NA,NA,NA,NA,NA,NA,stims/18.png,zeevo,0,43
p397175,adults,Crossact_active_passive,active,test,NA,NA,stims/14.png,stims/2.png,stims/10.png,stims/5.png,stims/3.png,stims/17.png,stims/11.png,stims/18.png,stims/2.png,NA,NA,NA,NA,NA,NA,NA,stims/2.png,pahvy,1,44
p397175,adults,Crossact_active_passive,passive,learning,deela,tesser,stims/4.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
p397175,adults,Crossact_active_passive,passive,learning,guffi,deela,stims/7.png,stims/8.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
